Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset
1,Pictures/Cue2_cat.png,ANIMAL,6.165999099990586,7.717844099999638,0,9.950367199984612,12.218204100005096,13.718535199994221
2,Pictures/Cue1_hammer.png,ANIMAL,15.220166799990693,16.738157299987506,1,18.670256499986863,21.2395934999804,22.740116999979364
3,Pictures/Cue2_cat.png,ANIMAL,24.24068069999339,25.757402399991406,0,27.609231099981116,30.25781349997851,31.759225199988578
4,Pictures/Cue2_cat.png,TOOL,33.25914089998696,34.776925399986794,0,36.84379709998029,39.27920150000136,40.77905739998096
5,Pictures/Cue1_hammer.png,ANIMAL,42.279751599999145,43.79663129997789,0,45.79770759999519,48.298805500002345,49.79912690000492
6,Pictures/Cue1_hammer.png,TOOL,51.29988979999325,52.81696460000239,1,54.683878799987724,57.3192732000025,58.81914229999529
7,Pictures/Cue1_hammer.png,TOOL,60.319805000006454,61.83732570000575,1,63.704336099996,66.3401179999928,67.83832489998895
8,Pictures/Cue2_cat.png,TOOL,69.34004209999694,70.85763660000521,0,73.57806609998806,75.35882090000086,76.8593983000028
9,Pictures/Cue2_cat.png,TOOL,78.36026679998031,79.877324400004,1,81.87800870000501,84.38029060000554,85.8802052999963
10,Pictures/Cue1_hammer.png,ANIMAL,87.37974829997984,88.89822350000031,,,93.3994243000052,94.90060470000026
